"id";"title";"runtime";"revenue";"adult";"release_date"
1785;"May Fools";107;0;FALSE;1990-01-24
4339;"The Nasty Girl";92;0;FALSE;1990-02-15
2927;"Moon 44";98;0;FALSE;1990-02-15
1669;"The Hunt for Red October";134;199200000;FALSE;1990-03-02
27815;"Basket Case 2";90;0;FALSE;1990-03-02
2565;"Joe Versus the Volcano";102;39404261;FALSE;1990-03-09
31225;"Paris is Burning";71;3779620;FALSE;1990-03-13
114;"Pretty Woman";119;4,63e+08;FALSE;1990-03-23
1498;"Teenage Mutant Ninja Turtles";93;2,02e+08;FALSE;1990-03-30
3101;"I Love You to Death";94;0;FALSE;1990-04-06
54768;"Zapped Again!";96;0;FALSE;1990-04-14
1483;"Begotten";78;0;FALSE;1990-04-30
483;"Wild at Heart";124;14560247;FALSE;1990-05-01
5302;"Without You I'm Nothing";90;1218730;FALSE;1990-05-11
1727;"Bird on a Wire";110;0;FALSE;1990-05-18
196;"Back to the Future Part III";118;244527583;FALSE;1990-05-25
6470;"Fire Birds";85;0;FALSE;1990-05-25
2154;"The Dark Side of The Moon";96;0;FALSE;1990-05-30
861;"Total Recall";113;261317921;FALSE;1990-06-01
928;"Gremlins 2: The New Batch";106;41482207;FALSE;1990-06-15
45179;"Xuxa in Crystal Moon";90;0;FALSE;1990-06-22
2119;"Days of Thunder";107;157920733;FALSE;1990-06-27
1573;"Die Hard 2";124;240031094;FALSE;1990-07-02
251;"Ghost";127;5,05e+08;FALSE;1990-07-12
2102;"Solar Crisis";112;0;FALSE;1990-07-14
36529;"Metamorphosis";96;0;FALSE;1990-08-07
2891;"An Angel at My Table";158;0;FALSE;1990-09-05
769;"GoodFellas";145;46836394;FALSE;1990-09-12
379;"Miller's Crossing";115;5080409;FALSE;1990-09-21
2990;"Pacific Heights";102;29381956;FALSE;1990-09-28
2302;"Avalon";126;0;FALSE;1990-10-05
2612;"Mr. Destiny";110;15379253;FALSE;1990-10-12
31923;"Welcome Home, Roxy Carmichael";95;0;FALSE;1990-10-12
1375;"Rocky V";104;119946358;FALSE;1990-10-18
2291;"Jacob's Ladder";113;25965144;FALSE;1990-11-02
3072;"Frankenstein Unbound";82;0;FALSE;1990-11-02
581;"Dances with Wolves";181;424208848;FALSE;1990-11-09
100032;"The Great Los Angeles Earthquake";180;0;FALSE;1990-11-11
169;"Predator 2";108;57120318;FALSE;1990-11-20
162;"Edward Scissorhands";105;5,3e+07;FALSE;1990-12-05
6723;"The Rookie";120;21633874;FALSE;1990-12-06
4587;"Mermaids";110;35419397;FALSE;1990-12-14
951;"Kindergarten Cop";111;201957688;FALSE;1990-12-21
242;"The Godfather: Part III";162;136766062;FALSE;1990-12-24
8010;"Highlander II: The Quickening";91;15556340;FALSE;1991-01-30
274;"The Silence of the Lambs";119;272742922;FALSE;1991-02-01
47423;"Once a Thief";103;4303351;FALSE;1991-02-02
2107;"L.A. Story";95;0;FALSE;1991-02-08
1497;"Teenage Mutant Ninja Turtles II: The Secret of the Ooze";88;7,8e+07;FALSE;1991-03-22
2528;"Madame Bovary";136;1942423;FALSE;1991-04-03
892;"Delicatessen";99;1794187;FALSE;1991-04-17
31696;"A Kiss Before Dying";95;15429177;FALSE;1991-04-26
49396;"The Haunted";100;0;FALSE;1991-05-06
2125;"Wedlock";101;0;FALSE;1991-05-10
1600;"The Double Life of Veronique";97;1999955;FALSE;1991-05-15
2924;"Backdraft";137;152368585;FALSE;1991-05-24
1541;"Thelma & Louise";130;45361000;FALSE;1991-05-24
2611;"Only the Lonely";104;21830957;FALSE;1991-05-24
89337;"Blood Ties";84;0;FALSE;1991-05-27
1713;"Jungle Fever";132;32482682;FALSE;1991-06-07
1406;"City Slickers";112;179033791;FALSE;1991-06-07
8367;"Robin Hood: Prince of Thieves";143;390493908;FALSE;1991-06-14
280;"Terminator 2: Judgment Day";137;5,2e+08;FALSE;1991-07-01
1089;"Point Break";120;83531958;FALSE;1991-07-12
